20/1/2021,86815914:7,88944767:8,93945809:5,91289181:8,95821190:3,82099750:7,95030361:1,96489061:5,92934404:2,82472268:3
21/1/2021,91854607:1,83055859:8,85764959:9,97306291:1,81805781:6,93574759:5,98966251:7,97279548:6,80480422:2,91155983:5
22/1/2021,85438752:6,95793590:4,98197151:3,86424705:3,83468007:7,92329095:1,99583605:7,92015421:3,87423533:8,97068660:8
23/1/2021,99542999:6,82464067:1,95238187:4,87785055:4,84105791:2,86231053:3,95107785:7,87938879:1,87922188:2,81077935:3
24/1/2021,82471051:3,82562321:9,99269048:9,81446207:5,91730447:6,92090522:2,90742417:9,85394495:8,86609616:6,99194607:5
25/1/2021,94121424:1,91308086:0,89356169:5,94324316:3,84504597:5,92173761:7,85026951:8,97024803:9,87090687:2,82323575:4
26/1/2021,95350871:1,99587949:4,89337598:8,93854860:7,86609651:4,85594825:7,84210419:6,93321477:1,82691661:3,87396437:8
27/1/2021,91621422:3,96558361:3,93251646:2,81137760:5,98655193:9,92471352:8,85751989:4,90884197:3,88681494:2,92484686:4
28/1/2021,93434367:2,83660318:7,87465871:1,97436935:1,89431077:8,88027132:3,86599411:2,86040848:5,91573760:1,82764488:9
29/1/2021,94014817:4,91937856:8,90926794:1,94085445:4,81569065:7,85917504:6,95170066:8,96035997:3,83442440:6,97445263:5
30/1/2021,87274650:4,99391925:3,83776157:2,83745143:5,95691534:3,87404919:9,98853405:2,97130536:9,98489251:9,88334931:2
31/1/2021,87830072:9,81338257:7,85245764:1,82226342:1,80494409:2,93628172:9,86816428:8,92187333:9,91845689:2,82010436:8
1/2/2021,88284966:1,83355925:3,81978908:1,84463854:7,98295137:0,90222802:9,84055026:0,84590657:9,98557790:0,88296260:9
2/2/2021,94070106:4,86947446:6,81448829:1,96747144:8,83115197:9,83770446:0,85105638:9,80895365:4,94974762:3,80157236:6
3/2/2021,95833764:3,97016139:4,83467684:8,95102521:6,93591266:6,84656536:6,87334490:4,92967693:6,88134310:1,85588458:2
4/2/2021,98499564:2,90751703:6,83315656:5,85766908:5,99285478:6,93486127:8,86517274:0,99562119:2,85073224:7,84982130:7
5/2/2021,91879105:3,81607636:9,90830006:8,81930999:9,94522243:3,80150066:8,94729196:1,86389961:3,85124768:9,80202326:4
6/2/2021,87205364:8,91609134:8,93452323:2,82395569:4,95645661:3,96671420:5,96694051:3,84252770:5,88902587:4,88808521:9
7/2/2021,88370817:3,88772160:7,97906415:5,95531647:5,96720511:6,82549144:8,96879186:2,94764484:5,92249721:9,88834975:7
8/2/2021,97911216:0,88110118:4,81674361:4,92449850:6,89686970:6,98826278:1,99281417:8,92152671:9,91058168:8,89721621:8
9/2/2021,83694888:4,87729975:0,84454902:1,90460860:7,94998953:5,90251442:6,83977373:5,92405024:2,99760181:3,82575015:8
10/2/2021,83850159:7,81645352:1,81851431:7,91614259:4,87372325:4,96001862:4,94418156:0,95086469:1,98714705:1,84899375:3
11/2/2021,86323699:2,87803786:5,95941672:1,93134671:6,81478251:7,93208298:5,98159329:8,97980618:9,92962577:8,82276444:5
12/2/2021,93140533:1,99880942:9,85874485:5,94836658:3,92805475:5,96392771:4,80099913:6,89118445:6,89950201:4,95750931:8
13/2/2021,97125790:1,95844371:9,90768867:2,88865577:9,89045819:4,90796165:1,84138215:6,92611430:6,98798853:1,99019709:9
