Phone No.,Check-in date,Check-in time,Check-out time
96769110,22/1/2021,1904,1943
94428821,23/1/2021,1102,1227
87152219,7/2/2021,1257,1356
95734821,25/1/2021,1544,2010
83804820,3/2/2021,1158,1605
88089964,27/1/2021,2111,2148
91648894,31/1/2021,1652,2001
95469874,8/2/2021,1528,1617
94274902,23/1/2021,1530,1942
87061806,23/1/2021,2123,2124
97894678,27/1/2021,1149,1925
96452251,3/2/2021,2142,2155
87740108,5/2/2021,1846,2029
87712572,10/2/2021,1618,1732
83513859,3/2/2021,1331,1626
95401031,11/2/2021,1841,2140
96979034,23/1/2021,2149,2157
84031633,8/2/2021,2014,2049
93121613,9/2/2021,1943,2109
86951565,28/1/2021,1256,2044
91840389,20/1/2021,2039,2111
98052031,2/2/2021,1428,2030
91133898,25/1/2021,2053,2151
81675521,7/2/2021,1903,2057
92931525,10/2/2021,1333,1400
89398435,29/1/2021,1432,1829
98681710,28/1/2021,1014,1604
88696270,1/2/2021,1318,1834
96288704,24/1/2021,1454,1823
96263325,26/1/2021,1426,2128
87871479,28/1/2021,1106,1703
96008250,25/1/2021,1324,2036
87190372,31/1/2021,1553,1753
97963009,3/2/2021,2023,2142
91341183,23/1/2021,1154,1440
88269204,8/2/2021,1406,1545
84767417,9/2/2021,1801,2047
96708929,5/2/2021,1814,1842
87256620,23/1/2021,1248,1540
93138271,7/2/2021,2036,2105
80168268,22/1/2021,1437,1824
99807979,8/2/2021,1736,2047
92740452,12/2/2021,1908,1927
97085822,26/1/2021,1705,1844
85185854,31/1/2021,1853,2009
95193214,29/1/2021,1403,1745
90316543,20/1/2021,1454,1647
83213801,27/1/2021,1220,1632
80231404,3/2/2021,1547,1618
89313461,29/1/2021,1710,1944
89458977,5/2/2021,1334,1948
83022286,2/2/2021,1925,2146
95255182,20/1/2021,1106,1527
80075188,21/1/2021,1501,1629
84542366,24/1/2021,1529,1726
94092283,12/2/2021,1413,1609
89455814,2/2/2021,1102,1427
84463188,28/1/2021,1511,1906
95324496,20/1/2021,1419,1815
86293817,28/1/2021,1038,1816
83490325,21/1/2021,1228,1951
94803795,21/1/2021,1850,2008
83939124,26/1/2021,1025,1345
94075554,12/2/2021,1946,2000
98572481,10/2/2021,1548,1923
84179396,12/2/2021,1811,1832
96171510,7/2/2021,2143,2150
86511879,3/2/2021,1350,1540
87037681,7/2/2021,1655,1712
85313679,26/1/2021,2142,2152
90377546,7/2/2021,1704,1928
84741195,24/1/2021,1613,1725
85995829,5/2/2021,1121,1826
83676560,6/2/2021,2153,2153
84653210,10/2/2021,1837,1947
96400213,23/1/2021,1814,2100
86066253,30/1/2021,1802,2131
80694870,11/2/2021,1339,1442
83779413,6/2/2021,1103,1808
98811310,6/2/2021,1030,1706
90589559,5/2/2021,1156,1240
88684984,9/2/2021,1918,2004
84716882,4/2/2021,1922,2030
95496099,9/2/2021,2015,2104
88544230,22/1/2021,2032,2113
97293234,6/2/2021,1710,1901
84804939,30/1/2021,1221,1643
81191519,5/2/2021,1557,1729
86415506,6/2/2021,1557,1841
94466308,31/1/2021,1904,2155
88672556,8/2/2021,1312,2105
94808822,29/1/2021,1524,2150
95914684,7/2/2021,1204,1355
91928430,5/2/2021,1209,2112
84831907,7/2/2021,1428,1728
89602336,1/2/2021,1510,1629
88186204,25/1/2021,1508,1729
82818209,24/1/2021,1604,1812
83987657,6/2/2021,2013,2042
87232230,27/1/2021,1002,1101
89663226,24/1/2021,1508,1719
97858351,31/1/2021,1333,1847
98992500,28/1/2021,1819,1957
89017497,3/2/2021,1634,2056
82803290,21/1/2021,1946,2144
93626282,30/1/2021,1248,1850
89423142,2/2/2021,1741,2043
89308600,25/1/2021,1714,1947
99178391,8/2/2021,2011,2050
95126379,6/2/2021,1729,2014
88864557,7/2/2021,1433,2014
97211234,20/1/2021,1632,2006
96673012,11/2/2021,2144,2147
82225337,27/1/2021,1836,1929
97094241,23/1/2021,1237,1543
89177048,22/1/2021,2103,2158
81320531,8/2/2021,1019,1106
84674916,7/2/2021,1208,1539
86951769,4/2/2021,1533,1747
80731430,7/2/2021,1507,1805
90953155,26/1/2021,1031,1904
91785264,23/1/2021,1324,1404
86819426,3/2/2021,2036,2113
84195471,20/1/2021,2002,2050
88524687,27/1/2021,1855,1908
82591595,3/2/2021,1906,1933
90944732,1/2/2021,1654,2053
85638794,1/2/2021,1013,1511
84233934,9/2/2021,1308,1507
84084390,2/2/2021,1929,2151
91982279,10/2/2021,2018,2107
86431970,7/2/2021,1330,1638
84377148,10/2/2021,1903,2105
94351963,30/1/2021,1206,2006
