Phone No.,Check-in date,Check-in time,Check-out time
84176138,28/1/2021,2016,2147
82268847,27/1/2021,2032,2154
89112671,4/2/2021,1043,1917
94820274,24/1/2021,1043,1347
89750913,25/1/2021,2045,2152
98623846,6/2/2021,1113,1652
94521797,8/2/2021,1037,1609
89258223,23/1/2021,1731,1852
93674433,2/2/2021,1533,1801
98328638,24/1/2021,1656,1656
93740768,12/2/2021,1432,1434
81084885,30/1/2021,1727,1900
96902682,1/2/2021,1327,1719
86378033,5/2/2021,1340,1930
87168375,25/1/2021,1728,1807
83572064,9/2/2021,1925,2018
86133578,29/1/2021,1341,1950
84338487,7/2/2021,1644,1950
95835348,8/2/2021,1031,1710
87739364,6/2/2021,1155,1724
92634326,20/1/2021,1601,2117
80903298,25/1/2021,1645,1921
80617064,6/2/2021,2000,2053
89642189,21/1/2021,2119,2157
98361873,11/2/2021,1511,1533
82858903,5/2/2021,2144,2152
83486913,28/1/2021,2049,2102
91765342,1/2/2021,1214,1345
84367595,3/2/2021,1735,2134
97800524,28/1/2021,1838,2141
80054092,29/1/2021,1645,1821
93067858,7/2/2021,1333,1356
86145979,27/1/2021,2151,2158
82954810,28/1/2021,1330,1405
88242518,30/1/2021,1657,1944
94439857,11/2/2021,1642,1755
96941014,22/1/2021,1223,1351
83636609,5/2/2021,2149,2152
90211204,2/2/2021,1126,2045
99875050,1/2/2021,1329,1902
94329616,28/1/2021,2016,2026
82283615,6/2/2021,1033,1937
96321102,5/2/2021,1339,1339
95308043,3/2/2021,1513,1558
88020222,31/1/2021,1205,1756
96382320,4/2/2021,1144,1453
83394191,5/2/2021,1410,2131
97140283,6/2/2021,1929,1938
95930560,2/2/2021,1145,1402
99201270,24/1/2021,1727,2119
90611659,22/1/2021,2054,2118
99078093,7/2/2021,2008,2041
88384763,21/1/2021,1437,1846
90300720,2/2/2021,1526,1604
99813763,3/2/2021,2151,2158
93509288,8/2/2021,1550,1710
94142609,30/1/2021,1650,1729
96434623,3/2/2021,1307,2104
91756955,21/1/2021,1329,2156
82300434,28/1/2021,1314,1429
86272998,30/1/2021,1823,1930
82088589,31/1/2021,1049,1427
83721003,21/1/2021,1739,2053
96678824,23/1/2021,1549,1832
90846907,1/2/2021,1518,2153
94568110,11/2/2021,1609,2153
82915091,20/1/2021,2020,2123
95140974,31/1/2021,2006,2049
90684174,28/1/2021,2000,2049
80071255,9/2/2021,2050,2106
94040936,26/1/2021,1920,2130
94578099,12/2/2021,1609,1915
91219693,10/2/2021,2012,2048
82378294,24/1/2021,2123,2146
97870844,9/2/2021,1748,2137
88388497,28/1/2021,1736,2122
89671048,28/1/2021,1551,1720
88545197,4/2/2021,1705,2101
93161840,1/2/2021,1842,2054
88685249,20/1/2021,1409,1934
81407101,24/1/2021,1652,1752
