SafeEntry Simulated Data
Identification,Contact Name,Contact Number,Manufacturer,Device Name,Model,Distance (m),Orientation,Signal Strength (dBm),Check-in location,Check-in date,Check-in time,Check-out date,Check-out time
S0707750E,Jasmine Lee,92245161,SAMSUNG,Galaxy A70,SM-A705MN,5,Top,-61.78,NORTHPOINT,20-3-20,10:35:00 AM,20-3-20,124000
S6478720I,Loy Ning Ning,98439577,OPPO,Realme 5,RMX1911,10,Top,-66.74,APERIA MALL,20-3-20,2:00:00 PM,20-3-20,6:31:00 PM
S6903300H,Kayla Puniamoorthy,98741636,GOOGLE,Pixel 3a XL,Pixel 3a XL,31,Top,-58.41,NORTHPOINT,20-3-20,5:45:00 PM,20-3-20,6:31:00 PM
S7952097G,April Cheah,93213933,SAMSUNG,Galaxy S8,SM-G950F,2,Top,-69.13,APERIA MALL,20-3-20,2:01:00 PM,20-3-20,6:31:00 PM
S5395053A,Travis Lau,85991110,XIAOMI,Mi A1,Mi A1,2,Top,-63.52,APERIA MALL,20-3-20,2:04:00 PM,20-3-20,6:31:00 PM
S9518598C,Kristen Lum,99995219,SONY,Xperia XZ1,G8342,5,Top,-59.54,BALESTIER PLAZA,20-3-20,5:45:00 PM,20-3-20,6:31:00 PM
S2060513H,Rachel Tan,98439574,SONY,Xperia XZ1,G8342,50,Top,-59.54,NORTHPOINT,20-3-20,10:36:00 AM,20-3-20,2:01:00 PM
S1529380B,Jessica Teoh,99053469,GOOGLE,Pixel 3a XL,Pixel 3a XL,10,Top,-58.41,NORTHPOINT,20-3-20,5:39:00 PM,20-3-20,7:00:00 PM
S7925321I,Zhen Bee Eng,98439575,SAMSUNG,Galaxy Note 10+,SM-N975F,2,Top,-49.9,NORTHPOINT,20-3-20,5:53:00 PM,20-3-20,7:00:00 PM
S5469514D,Sophia Ong,94949952,LG,Nexus 5X,Nexus 5X,5,Top,-67.4,BALESTIER PLAZA,20-3-20,5:39:00 PM,20-3-20,8:00:00 PM
S4479662G,Lina Lieu,93993463,SAMSUNG,Galaxy Note 9,SM-N960F,2,Top,-59.64,PIONEER MALL,20-3-20,5:39:00 PM,20-3-20,7:00:00 PM
S6193174J,Lambeth Lee,92245161,SAMSUNG,Galaxy S10+,SM-G975F,20,Top,-57.87,PIONEER MALL,20-3-20,6:31:00 PM,20-3-20,7:00:00 PM
S6315061D,Sammy Gore,93690508,XIAOMI,Pocophone F1,Pocophone F1,2,Top,-55.72,SIT@NYP,20-3-20,2:00:00 PM,20-3-20,NA
S7361053B,Lynn Yeoh,93120759,SAMSUNG,Galaxy A10S,SM-A107F,5,Top,-66.57,SIT@NYP,20-3-20,2:01:00 PM,20-3-20,NA
S7156686B,Jarvis Lin,91806792,XIAOMI,Mi A1,Mi A1,22,Top,-63.52,SIT@NYP,20-3-20,2:04:00 PM,20-3-20,NA
S9773498D,Zikri Nasir,91654703,OPPO,Realme 5,RMX1911,50,Top,-66.74,BALESTIER PLAZA,20-3-20,5:39:00 PM,20-3-20,NA
S6187774F,Alec Tan,91700369,OPPO,AX5s,CPH1909,2,Top,-57.51,BALESTIER PLAZA,20-3-20,5:53:00 PM,20-3-20,NA
S0730930U,Tong Koon Tan Sammy,95749866,SAMSUNG,Galaxy Note 9,SM-N960F,10,Top,-59.64,CITY SQUARE MALL,20-3-20,6:31:00 PM,20-3-20,8:00:00 PM
S5371619I,Dexter Chen,90175180,XIAOMI,Mi A2 Lite,Mi A2 Lite,50,Top,-59.45,CITY SQUARE MALL,20-3-20,5:45:00 PM,20-3-20,9:00:00 PM
S0610914D,Hao Gen,94459175,XIAOMI,Pocophone F1,Pocophone F1,2,Top,-55.72,CITY SQUARE MALL,20-3-20,6:31:00 PM,20-3-20,8:01:00 PM
S2242851U,Melissa Ho Lijuan,90782389,APPLE,iPhone X,iPhone X,2,Top,-53.84,JCUBE,20-3-20,3:08:00 PM,20-3-20,6:31:00 PM
S2571837B,Min Low,97514503,APPLE,iPhone 6,iPhone 6,15,Top,-59.06,JCUBE,20-3-20,7:00:00 PM,20-3-20,6:31:00 PM
G7679103D,Joey Choi,99002814,HUAWEI,Mate 20 Pro,LYA-L29,2,Top,-70.56,JCUBE,20-3-20,3:08:00 PM,20-3-20,NA
S5370663J,Terrence Chin,85571447,SAMSUNG,Galaxy Note 10+,SM-N975F,20,Top,-49.9,JURONG POINT,20-3-20,6:31:00 PM,20-3-20,8:01:00 PM
S9181772A,Frederic Lim,98741631,APPLE,iPhone X,iPhone X,20,Top,-53.84,JURONG POINT,20-3-20,2:04:00 PM,20-3-20,3:01:00 PM
S6953641G,Kong Yingtai,98741632,HUAWEI,Mate 20 Pro,LYA-L29,2,Top,-70.56,JURONG POINT,20-3-20,6:31:00 PM,20-3-20,8:01:00 PM
S0807365A,Leow Ai Heng,96301245,XIAOMI,Mi Max 3,Mi Max 3,31,Top,-55.33,JURONG POINT,20-3-20,6:31:00 PM,20-3-20,8:01:00 PM
S9685489G,Rick Woo,89652292,SAMSUNG,Galaxy S8,SM-G950F,12,Top,-69.13,WESTMALL,20-3-20,7:00:00 PM,20-3-20,NA
S5517833Z,Charmaine Teo,82863770,SAMSUNG,Galaxy A70,SM-A705MN,51,Top,-61.78,WESTMALL,20-3-20,7:19:00 PM,20-3-20,8:01:00 PM
S0035033H,Tang Xue,91806790,APPLE,iPhone 6,iPhone 6,25,Top,-59.06,WESTMALL,20-3-20,7:19:00 PM,20-3-20,8:01:00 PM
S7222552Z,Ishak Rahmat,87309912,XIAOMI,Mi A2 Lite,Mi A2 Lite,2,Top,-59.45,WESTMALL,20-3-20,5:45:00 PM,20-3-20,NA
S3451209D,Sasha Nordin,83638020,SAMSUNG,Galaxy S10+,SM-G975F,1,Top,-57.87,ZHONGSHAN MALL,20-3-20,7:15:00 PM,20-3-20,9:21:00 PM
S6187127F,Corinne Pang,85542423,LG,Nexus 5X,Nexus 5X,1,Top,-67.4,ZHONGSHAN MALL,20-3-20,7:19:00 PM,20-3-20,9:21:00 PM
S6156637F,Hillary Eng,92294434,SAMSUNG,Galaxy A10S,SM-A107F,20,Top,-66.57,ZHONGSHAN MALL,20-3-20,5:45:00 PM,20-3-20,8:05:00 PM
S0578510C,Mok Kok Hwee Eric,92245160,OPPO,AX5s,CPH1909,16,Top,-57.51,ZHONGSHAN MALL,20-3-20,5:45:00 PM,20-3-20,NA
S1547352E,Martin Lee,91806797,XIAOMI,Mi Max 3,Mi Max 3,2,Top,-55.33,ZHONGSHAN MALL,20-3-20,5:45:00 PM,20-3-20,8:07:00 PM
